"LATITUDE","LONGITUDE","PPE","OSM_ID","HIGHWAY","UPDATED_AT"
44.4879819341,11.276569064137,0.017857962446983,28614974,trunk,2015-02-28 00:48:45.120542
44.487999386707,11.276328729985,0.0187175338354448,28614974,trunk,2015-02-28 00:48:45.120542
44.48802566766,11.2760892163,0.0191137317986099,28614974,trunk,2015-02-28 00:48:45.120542
44.488057485824,11.275850338469,0.0260163969226122,28614974,trunk,2015-02-28 00:48:45.120542
44.488097789231,11.27561275306,0.0275439419473882,28614974,trunk,2015-02-28 00:48:45.120542
44.488145282707,11.275376524959,0.0258441427049433,28614974,trunk,2015-02-28 00:48:45.120542
44.488205147543,11.275143158131,0.0180541708479512,28614974,trunk,2015-02-28 00:48:45.120542
44.48827019595,11.274911112016,0.0206060914825742,28614974,trunk,2015-02-28 00:48:45.120542
44.488341600848,11.27468097725,0.0201577537092845,28614974,trunk,2015-02-28 00:48:45.120542
44.488421466573,11.274453625457,0.0193738535675763,28614974,trunk,2015-02-28 00:48:45.120542
44.488505572674,11.274227787428,0.0178538468726289,28614974,trunk,2015-02-28 00:48:45.120542
44.488589775705,11.274001984843,0.0553122049327621,28614974,trunk,2015-02-28 00:48:45.120542
44.488673383923,11.273775962297,0.0634311660830637,28614974,trunk,2015-02-28 00:48:45.120542
44.488756352684,11.27354970328,0.0606855715166082,28614974,trunk,2015-02-28 00:48:45.120542
44.488839321446,11.273323444264,0.0246316038041722,28614974,trunk,2015-02-28 00:48:45.120542
44.488922210756,11.273097156136,0.026055081741121,28614974,trunk,2015-02-28 00:48:45.120542
44.489005061573,11.272870853905,0.0245376174856093,28614974,trunk,2015-02-28 00:48:45.120542
44.489087457355,11.272644385851,0.0253613124936069,28614974,trunk,2015-04-01 13:56:04.011692
44.489169632695,11.272417837465,0.0280465826070289,28614974,trunk,2015-04-01 13:56:04.011692
44.525916542038,11.265844594078,0.0315594676251223,23557801,motorway_link,2015-03-25 13:21:54.339234
44.526009980448,11.265629618427,0.015622289706101,23557801,motorway_link,2015-03-25 13:21:54.339234
44.526103353552,11.265414614267,0.0189092160151021,23557801,motorway_link,2015-03-25 13:21:54.339234
44.526196726656,11.265199610106,0.0189447467832396,23557801,motorway_link,2015-03-25 13:21:54.339234
